[0, 0, 0, 0] [1, 1, 1, 1] [2, 2, 2] [3, 3, 3, 3] [4, 4, 4, 4] [5, 5, 5] [5, 12, 7, 19] [6, 6, 6, 6] [7, 7, 7] [8, 8, 8, 8] [9, 9, 9, 9] [10, 10, 10, 10] [11, 11, 11, 11] [12, 12, 12] [13, 13, 13, 13] [14, 14, 14, 14] [15, 15, 15, 15] [16, 16, 16, 16] [17, 17, 17, 17] [18, 18, 18] [19] [19, 19, 2, 18] 
[0, 0, 0, 0] [7, 1, 1, 1] [2, 2, 2] [3, 3, 3, 3] [4, 4, 4, 4] [5, 2, 5, 5] [12, 7, 5, 19] [6, 6, 6, 6] [7, 1, 7, 14] [8, 8, 8, 8] [9, 9, 9, 9] [10, 10, 10, 10] [11, 11, 11, 11] [12, 12, 12] [13, 13, 13, 13] [14, 14, 14] [15, 15, 15, 15] [16, 16, 16, 16] [17, 17, 17, 17] [18, 18, 18, 18] [19, 19] [19] 
[0, 0, 0, 0] [7, 1, 1, 7] [2, 2, 2] [3, 3, 3, 3] [4, 4, 4, 4] [12, 5, 5, 2] [19, 12, 7, 5] [6, 6, 6, 6] [7, 1, 1, 14] [8, 8, 8, 8] [9, 9, 9, 9] [10, 10, 10, 10] [11, 11, 11, 11] [12, 14, 5, 16] [13, 13, 13, 13] [12, 14, 14, 17] [15, 15, 15, 15] [16, 16, 16] [17, 17, 17] [18, 18, 18, 18] [19, 19] [19] 
[0, 0, 0, 0] [1, 1, 9] [2, 4, 2, 7] [3, 3, 3, 3] [4, 4, 4] [5, 2, 5, 5] [5, 12, 9, 14] [6, 6, 6, 6] [7, 7, 19, 7] [8, 8, 8, 8] [9, 1, 9, 1] [10, 10, 10, 10] [11, 11, 11, 11] [12, 12, 12] [13, 13, 13] [14, 14, 14] [15, 15, 15, 15] [16, 16, 16, 16] [17, 17, 17, 17] [18, 19, 18, 18] [13] [19, 18, 19, 2] 
[0, 0, 0, 0] [1, 1, 9, 1] [2, 2] [3, 3, 7, 3] [4, 4, 4, 4] [2, 5, 5, 5] [5, 12, 7, 12] [6, 6, 6, 6] [3, 7, 7, 19] [8, 8, 8, 8] [9, 1, 9, 9] [10, 10, 10, 10] [11, 11, 11, 11] [12, 14, 12] [13, 13, 13] [14, 14, 14] [15, 15, 15, 15] [16, 16, 16, 16] [17, 17, 17, 17] [18, 19, 18, 18] [13] [19, 18, 19, 2] 
[0, 0, 0, 0] [18, 1, 2, 9] [8, 2, 10, 1] [3, 14, 7, 3] [4, 4, 4, 4] [18, 5, 5, 2] [7, 9, 5, 12] [6, 6, 6, 6] [3, 7, 7, 19] [8, 8, 8] [13, 9, 9, 1] [10, 10, 10] [11, 11] [12, 14, 12, 11] [13, 13, 13] [19, 14, 19, 14] [15, 15, 15, 15] [16, 16, 16, 16] [17, 17, 17, 17] [1, 5, 18, 2] [11] [3, 18, 19, 12] 
[0, 0, 6, 0] [1, 1, 9, 1] [2, 2] [9, 3, 7, 3] [4, 4, 4] [18, 2, 5, 5] [11, 12, 7, 4] [0, 12, 12, 6] [19, 7, 7, 3] [8, 8, 8, 8] [9, 1, 3, 9] [10, 10, 10, 10] [11, 5, 17, 11] [19, 14, 12, 11] [13, 13, 13, 13] [14, 6, 14, 14] [15, 15, 15, 15] [16, 16, 16, 16] [17, 17] [18, 5, 18, 19] [17] [2, 19, 18, 6] 
[0, 0, 6, 0] [1, 1, 9, 1] [2] [9, 3, 7, 3] [4, 4] [18, 2, 5, 5] [11, 12, 7, 11] [0, 19, 6, 6] [7, 19, 3, 7] [8, 8, 8, 8] [9, 1, 3, 9] [10, 10, 10, 10] [11, 5, 12, 11] [12, 14, 12, 2] [13, 13, 13, 13] [14, 17, 14, 14] [15, 15, 15, 15] [16, 16, 16, 16] [17, 17, 4, 4] [18, 5, 18, 17] [19] [2, 6, 19, 18] 
[0, 12, 6, 0] [1, 4, 9, 1] [2, 2] [9, 3, 7, 13] [1, 16, 4, 13] [18, 5, 2, 5] [7, 5, 14, 7] [0, 19, 6, 6] [12, 3, 19, 7] [8, 8, 8, 8] [9, 1, 3, 11] [14, 10, 16, 10] [17, 9, 11, 17] [12, 14, 12, 11] [3, 13, 13, 17] [4, 0, 10, 14] [15, 15, 15, 15] [16, 4, 10, 16] [11] [18, 5, 18, 19] [17] [19, 18, 6, 2] 
[0, 0, 0, 0] [1, 14, 1, 13] [2, 2, 2] [3, 3, 3, 3] [4, 4, 4, 4] [5, 5, 2, 5] [19, 12, 7, 5] [6, 6, 6, 6] [7, 1, 7, 14] [8, 8, 8, 8] [9, 9, 9, 9] [10, 10, 10, 10] [11, 11, 11, 11] [12, 7, 12, 16] [13, 13, 13] [12, 14, 14, 17] [15, 16, 15, 15] [16, 15, 16, 1] [17, 17, 17] [18, 18, 18, 18] [19] [19, 19] 
[0, 12, 6, 0] [1, 4, 9, 1] [2, 2] [9, 3, 7, 13] [1, 4, 4, 13] [18, 5, 2, 5] [7, 5, 4, 12] [0, 19, 6, 6] [7, 3, 19, 7] [8, 8, 8, 8] [9, 1, 3, 11] [10, 10, 10, 10] [17, 9, 11, 17] [12, 14, 12, 11] [3, 13, 13, 17] [14, 0, 14, 14] [15, 15, 15, 15] [16, 16, 16, 16] [11] [18, 5, 18, 19] [17] [19, 18, 6, 2] 
[0, 0, 6, 0] [1, 4, 9, 1] [2, 2, 10] [9, 3, 7, 13] [1, 10, 4, 4] [10, 5, 5, 2] [12, 5, 4, 7] [0, 19, 6, 10] [7, 3, 19, 15] [8, 8, 14, 8] [9, 1, 3, 9] [6, 16, 13, 16] [11, 17, 11, 8] [11, 12, 14, 12] [3, 7, 13, 13] [11, 14, 12, 14] [15, 15, 15] [16, 18, 16] [17, 17] [18, 5, 18, 19] [17] [2, 6, 18, 19] 
[0, 0, 6, 0] [1, 4, 9, 1] [2, 2, 10] [9, 3, 7, 13] [1, 4, 13, 4] [2, 10, 5, 5] [12, 5, 4, 7] [0, 19, 6, 10] [7, 3, 19] [8, 8, 14, 8] [9, 1, 3, 9] [6, 16, 10, 17] [11, 8, 11, 17] [12, 14, 12, 11] [13, 7, 13, 3] [5, 12, 14, 14] [15, 15, 15, 15] [16, 18, 16, 16] [17, 17] [18, 11, 18, 19] [] [2, 6, 18, 19] 
[0, 11, 0, 6] [1, 4, 9, 1] [2, 2, 10, 15] [9, 3, 7, 13] [1, 4, 13, 4] [10, 16, 5, 2] [12, 5, 4, 7] [12, 19, 6, 10] [7, 3, 19, 16] [5, 8, 14, 2] [9, 1, 3, 9] [6, 16, 5, 15] [11, 17, 0] [12, 14, 12, 11] [3, 7, 11, 13] [13, 14, 0, 14] [15, 15, 8] [8, 18, 16] [17, 6] [18, 10, 18, 19] [17] [8, 17, 18, 19] 
[0, 0, 6, 0] [1, 4, 9, 1] [2, 2, 10, 15] [9, 3, 7, 13] [1, 4, 13, 4] [10, 16, 5, 2] [12, 5, 4, 7] [0, 19, 6, 10] [7, 3, 19, 16] [5, 8, 14, 2] [9, 1, 3, 9] [15, 6, 16, 5] [11, 17, 11, 8] [12, 14, 12, 11] [3, 7, 13, 13] [11, 14, 12, 14] [15, 15] [8, 18, 16] [17, 17] [18, 10, 18, 19] [17] [8, 6, 18, 19] 
[0, 0, 6, 0] [1, 14, 9, 1] [2, 2] [9, 3, 14, 3] [4, 4, 4] [18, 2, 5, 5] [11, 12, 7, 4] [0, 12, 12, 6] [19, 7, 7, 3] [8, 8, 8, 8] [9, 1, 3, 9] [10, 10, 10, 10] [11, 5, 17, 11] [19, 1, 12, 11] [13, 13, 13, 13] [14, 6, 14, 7] [15, 15, 15, 15] [16, 16, 16, 16] [17, 17] [18, 5, 18, 19] [17] [2, 19, 18, 6] 
[0, 0, 0, 0] [7, 1, 1, 5] [2, 2, 2] [3, 3, 3, 3] [4, 4, 4, 4] [12, 5, 5, 2] [1, 12, 14, 19] [6, 6, 6, 6] [7, 1, 7, 14] [8, 8, 8, 8] [9, 9, 9, 9] [10, 10, 10, 10] [11, 11, 11, 11] [12, 14, 5, 16] [13, 13, 13, 13] [12, 14, 7, 17] [15, 15, 15, 15] [16, 16, 16] [17, 17, 17] [18, 18, 18, 18] [19, 19] [19] 
[0, 0, 0, 0] [1, 9, 2, 18] [10, 19, 1, 2] [3, 14, 7, 3] [4, 4, 4, 4] [18, 5, 5, 2] [7, 9, 5, 12] [6, 6, 6, 6] [3, 14, 7, 15] [8, 8, 8, 8] [9, 1, 9, 13] [10, 10, 10] [11, 11] [12, 7, 12, 11] [13, 13, 13] [19, 14, 14, 12] [15, 15, 15] [16, 16, 16, 16] [17, 17, 17, 17] [1, 5, 18, 19] [11] [3, 18, 19, 2] 
