epoch;avg;max;min;size
0;57.333333333333336;59;55;3
1;57.666666666666664;59;55;3
2;57.666666666666664;59;55;3
3;60.0;66;55;3
4;60.0;66;55;3
5;60.0;66;55;3
6;60.0;66;55;3
7;62.0;68;55;4
8;62.0;68;55;4
9;62.0;68;55;4
10;62.0;68;55;4
11;64.8;75;55;5
12;65.0;75;55;5
13;65.2;75;56;5
14;65.2;75;56;5
15;65.2;75;56;5
16;65.2;75;56;5
17;65.2;75;56;5
18;65.2;75;56;5
19;65.2;75;56;5
20;67.83333333333333;81;56;6
21;67.83333333333333;81;56;6
22;68.0;81;56;6
23;68.0;81;56;6
24;68.16666666666667;81;56;6
25;68.16666666666667;81;56;6
26;68.16666666666667;81;56;6
27;68.33333333333333;81;56;6
28;68.33333333333333;81;56;6
29;68.33333333333333;81;56;6
30;68.5;82;56;6
31;68.5;82;56;6
32;68.5;82;56;6
33;69.66666666666667;89;56;6
34;70.0;89;56;6
35;70.0;89;56;6
36;70.0;89;56;6
37;70.0;89;56;6
38;70.0;89;56;6
39;70.0;89;56;6
40;70.0;89;56;6
41;70.0;89;56;6
42;70.0;89;56;6
43;70.0;89;56;6
44;70.33333333333333;89;56;6
45;70.33333333333333;89;56;6
46;70.33333333333333;89;56;6
47;70.5;89;56;6
48;70.66666666666667;89;56;6
49;72.28571428571429;89;56;7
50;72.28571428571429;89;56;7
51;72.28571428571429;89;56;7
52;72.28571428571429;89;56;7
53;72.42857142857143;90;56;7
54;72.42857142857143;90;56;7
55;72.57142857142857;91;56;7
56;72.57142857142857;91;56;7
57;72.57142857142857;91;56;7
58;72.57142857142857;91;56;7
59;72.57142857142857;91;56;7
60;72.57142857142857;91;56;7
61;72.57142857142857;91;56;7
62;72.57142857142857;91;56;7
63;72.57142857142857;91;56;7
64;72.71428571428571;91;56;7
65;74.75;91;56;8
66;74.75;91;56;8
67;74.75;91;56;8
68;74.75;91;56;8
69;75.0;91;56;8
70;75.0;91;56;8
71;75.0;91;56;8
72;75.0;91;56;8
73;75.0;91;56;8
74;75.0;91;56;8
75;76.5;94;56;8
76;76.5;94;56;8
77;76.5;94;56;8
78;76.5;94;56;8
79;76.625;94;56;8
80;76.625;94;56;8
81;76.75;94;56;8
82;76.75;94;56;8
83;76.75;94;56;8
84;76.75;94;56;8
85;76.875;94;56;8
86;76.875;94;56;8
87;77.0;94;56;8
88;77.0;94;56;8
89;77.0;94;56;8
90;77.0;94;56;8
91;77.0;94;56;8
92;77.0;94;56;8
93;77.0;94;56;8
94;77.0;94;56;8
95;77.5;98;56;8
96;77.5;98;56;8
97;77.5;98;56;8
98;77.5;98;56;8
99;77.5;98;56;8
100;77.5;98;56;8
101;77.5;98;56;8
102;77.5;98;56;8
103;77.5;98;56;8
104;77.5;98;56;8
105;77.5;98;56;8
106;77.5;98;56;8
107;77.5;98;56;8
108;78.625;99;56;8
109;78.625;99;56;8
110;78.625;99;56;8
111;78.625;99;56;8
112;78.625;99;56;8
113;78.625;99;56;8
114;78.625;99;56;8
115;78.625;99;56;8
116;78.625;99;56;8
117;78.625;99;56;8
118;78.875;100;56;8
119;78.875;100;56;8
120;79.75;107;56;8
121;79.75;107;56;8
122;79.75;107;56;8
123;79.75;107;56;8
124;79.875;107;56;8
125;79.875;107;56;8
126;79.875;107;56;8
127;79.875;107;56;8
128;79.875;107;56;8
129;80.0;108;56;8
130;80.25;108;56;8
131;80.25;108;56;8
132;80.25;108;56;8
133;80.25;108;56;8
134;80.25;108;56;8
135;80.25;108;56;8
136;80.25;108;56;8
137;80.25;108;56;8
138;80.25;108;56;8
139;80.25;108;56;8
140;80.25;108;56;8
141;80.25;108;56;8
142;80.25;108;56;8
143;80.25;108;56;8
144;80.375;108;56;8
145;80.375;108;56;8
146;80.375;108;56;8
147;80.375;108;56;8
148;80.375;108;56;8
149;80.375;108;56;8
150;80.5;108;56;8
151;80.5;108;56;8
152;80.625;109;56;8
153;80.625;109;56;8
154;80.625;109;56;8
155;80.625;109;56;8
156;80.625;109;56;8
157;80.625;109;56;8
158;80.625;109;56;8
159;80.625;109;56;8
160;80.625;109;56;8
161;80.625;109;56;8
162;80.625;109;56;8
163;80.625;109;56;8
164;80.625;109;56;8
165;80.875;109;56;8
166;80.875;109;56;8
167;80.875;109;56;8
168;80.875;109;56;8
169;80.875;109;56;8
170;80.875;109;56;8
171;81.125;109;56;8
172;81.125;109;56;8
173;81.125;109;56;8
174;81.125;109;56;8
175;81.125;109;56;8
176;81.125;109;56;8
177;81.125;109;56;8
178;81.125;109;56;8
179;81.125;109;56;8
180;81.125;109;56;8
181;81.125;109;56;8
182;81.125;109;56;8
183;81.25;110;56;8
184;81.25;110;56;8
185;81.375;110;56;8
186;81.375;110;56;8
187;81.5;110;56;8
188;81.5;110;56;8
189;81.5;110;56;8
190;81.5;110;56;8
191;81.625;110;56;8
192;81.625;110;56;8
193;81.625;110;56;8
194;81.625;110;56;8
195;81.625;110;56;8
196;81.625;110;56;8
197;81.625;110;56;8
198;81.625;110;56;8
199;81.625;110;56;8
200;81.625;110;56;8
201;81.625;110;56;8
202;81.625;110;56;8
203;81.625;110;56;8
204;81.875;110;56;8
205;81.875;110;56;8
206;81.875;110;56;8
207;81.875;110;56;8
208;81.875;110;56;8
209;82.0;110;56;8
210;82.0;110;56;8
211;82.0;110;56;8
212;82.0;110;56;8
213;82.0;110;56;8
214;82.0;110;56;8
215;82.0;110;56;8
216;82.0;110;56;8
217;82.0;110;56;8
218;82.0;110;56;8
219;82.0;110;56;8
220;82.0;110;56;8
221;82.0;110;56;8
222;82.0;110;56;8
223;82.0;110;56;8
224;82.0;110;56;8
225;82.0;110;56;8
226;82.0;110;56;8
227;82.0;110;56;8
228;82.125;110;56;8
229;82.125;110;56;8
230;85.33333333333333;111;56;9
231;85.33333333333333;111;56;9
232;84.6;111;56;10
233;84.6;111;56;10
234;84.6;111;56;10
235;84.6;111;56;10
236;84.6;111;56;10
237;86.36363636363636;111;56;11
238;86.36363636363636;111;56;11
239;86.36363636363636;111;56;11
240;86.36363636363636;111;56;11
241;86.36363636363636;111;56;11
242;86.36363636363636;111;56;11
243;86.36363636363636;111;56;11
244;86.36363636363636;111;56;11
245;86.36363636363636;111;56;11
246;86.36363636363636;111;56;11
247;86.36363636363636;111;56;11
248;86.36363636363636;111;56;11
249;86.36363636363636;111;56;11
250;87.36363636363636;115;56;11
251;87.36363636363636;115;56;11
252;87.36363636363636;115;56;11
253;87.36363636363636;115;56;11
254;87.36363636363636;115;56;11
255;87.36363636363636;115;56;11
256;87.36363636363636;115;56;11
257;87.36363636363636;115;56;11
258;87.36363636363636;115;56;11
259;87.36363636363636;115;56;11
260;87.36363636363636;115;56;11
261;87.36363636363636;115;56;11
262;87.36363636363636;115;56;11
263;87.36363636363636;115;56;11
264;87.36363636363636;115;56;11
265;87.36363636363636;115;56;11
266;87.36363636363636;115;56;11
267;87.36363636363636;115;56;11
268;87.36363636363636;115;56;11
269;87.72727272727273;115;56;11
270;87.72727272727273;115;56;11
271;87.72727272727273;115;56;11
272;87.72727272727273;115;56;11
273;87.72727272727273;115;56;11
274;87.72727272727273;115;56;11
275;87.72727272727273;115;56;11
276;87.72727272727273;115;56;11
277;87.81818181818181;116;56;11
278;87.81818181818181;116;56;11
279;87.81818181818181;116;56;11
280;87.81818181818181;116;56;11
281;87.81818181818181;116;56;11
282;87.81818181818181;116;56;11
283;87.81818181818181;116;56;11
284;87.81818181818181;116;56;11
285;87.81818181818181;116;56;11
286;87.81818181818181;116;56;11
287;87.81818181818181;116;56;11
288;87.81818181818181;116;56;11
289;87.81818181818181;116;56;11
290;87.81818181818181;116;56;11
291;87.81818181818181;116;56;11
292;88.0909090909091;116;56;11
293;88.18181818181819;116;56;11
294;88.18181818181819;116;56;11
